iso3,country,value,indicator,scenario,period,statistic,value_type,unit,variable_long_name,ensemble_percentile,models_in_ensemble,source,source_doi,reference_period,aggregation_method,scenario_label,indicator_label
ARG,ARG,71.8428755191604,hd30,ssp245,2040-2059,median,climatology,days,annual climatology of ensemble of hd30: hot days with 30 degC and higher,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,kiost-esm,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Hot days above 30°C
ARG,ARG,1.1234793605808375,tas,ssp245,2040-2059,median,anomaly,degC,ensemble of anomaly of Daily Near-Surface Air Temperature with reference period 1995-2014,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,1995-2014,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Mean temperature
ARG,ARG,16.259877791694816,tas,ssp245,2040-2059,median,climatology,degC,ensemble of Daily Near-Surface Air Temperature,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Mean temperature
ARM,ARM,19.498744996965762,hd30,ssp245,2040-2059,median,climatology,days,annual climatology of ensemble of hd30: hot days with 30 degC and higher,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,kiost-esm,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Hot days above 30°C
ARM,ARM,1.9168436463398442,tas,ssp245,2040-2059,median,anomaly,degC,ensemble of anomaly of Daily Near-Surface Air Temperature with reference period 1995-2014,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,1995-2014,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Mean temperature
ARM,ARM,8.823663358455418,tas,ssp245,2040-2059,median,climatology,degC,ensemble of Daily Near-Surface Air Temperature,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Mean temperature
ASM,ASM,0.949999988079071,hd30,ssp245,2040-2059,median,climatology,days,annual climatology of ensemble of hd30: hot days with 30 degC and higher,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,kiost-esm,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Hot days above 30°C
ASM,ASM,0.953000009059906,tas,ssp245,2040-2059,median,anomaly,degC,ensemble of anomaly of Daily Near-Surface Air Temperature with reference period 1995-2014,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,1995-2014,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Mean temperature
ASM,ASM,27.59000015258789,tas,ssp245,2040-2059,median,climatology,degC,ensemble of Daily Near-Surface Air Temperature,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Mean temperature
ATF,ATF,0.0,hd30,ssp245,2040-2059,median,climatology,days,annual climatology of ensemble of hd30: hot days with 30 degC and higher,50.0,"access-cm2,access-esm1-5,bcc-csm2-mr,canesm5,cmcc-esm2,cnrm-cm6-1,cnrm-esm2-1,ec-earth3,ec-earth3-veg-lr,fgoals-g3,gfdl-cm4,gfdl-esm4,giss-e2-1-g,hadgem3-gc31-ll,inm-cm4-8,inm-cm5-0,ipsl-cm6a-lr,kace-1-0-g,kiost-esm,miroc6,miroc-es2l,mpi-esm1-2-hr,mpi-esm1-2-lr,mri-esm2-0,nesm3,noresm2-lm,noresm2-mm,ukesm1-0-ll",World Bank Climate Change Knowledge Portal (CMIP6-x0.25),,,country polygon mask; latitude-area weighted mean using cos(latitude),SSP2-4.5,Hot days above 30°C
